-1           // level 0 (unreachable)
0            // Lvl:1
68           // Lvl:2
363          // Lvl:3
1168         // Lvl:4
2884         // Lvl:5
6038         // Lvl:6
11287        // Lvl:7
19423        // Lvl:8
31378        // Lvl:9
48229        // Lvl:10
71201        // Lvl:11
101676       // Lvl:12
141192       // Lvl:13
191452       // Lvl:14
254327       // Lvl:15
331864       // Lvl:16
426284       // Lvl:17
539995       // Lvl:18
675590       // Lvl:19
835854       // Lvl:20
1023775      // Lvl:21
1242536      // Lvl:22
1495531      // Lvl:23
1786365      // Lvl:24
2118860      // Lvl:25
2497059      // Lvl:26
2925229      // Lvl:27
3407873      // Lvl:28
3949727      // Lvl:29
4555766      // Lvl:30
5231213      // Lvl:31
5981539      // Lvl:32
6812472      // Lvl:33
7729999      // Lvl:34
8740372      // Lvl:35
9850111      // Lvl:36
11066012     // Lvl:37
12395149     // Lvl:38
13844879     // Lvl:39
15422851     // Lvl:40
17137002     // Lvl:41
18995573     // Lvl:42
21007103     // Lvl:43
23180442     // Lvl:44
25524751     // Lvl:45
28049509     // Lvl:46
30764519     // Lvl:47
33679907     // Lvl:48
36806133     // Lvl:49
40153995     // Lvl:50
45524865     // Lvl:51
51262204     // Lvl:52
57383682     // Lvl:53
63907585     // Lvl:54
70852742     // Lvl:55
80700339     // Lvl:56
91162131     // Lvl:57
102265326    // Lvl:58
114038008    // Lvl:69
126509030    // Lvl:60
146307211    // Lvl:61
167243291    // Lvl:62
189363788    // Lvl:63
212716741    // Lvl:64
237351413    // Lvl:65
271973532    // Lvl:66
308441375    // Lvl:67
346825235    // Lvl:68
387197529    // Lvl:69
429632402    // Lvl:70
474205751    // Lvl:71
532692055    // Lvl:72
606319094    // Lvl:73
696376867    // Lvl:74
804219972    // Lvl:75
931275828    // Lvl:76
1151275834   // Lvl:77
1511275834   // Lvl:78
2099275834   // Lvl:79
4200000000   // Lvl:80
6300000000   // Lvl:81
279783329565 // Lvl:82
454748284484 // Lvl:83
673468617186 // Lvl:84
946585988577 // Lvl:85
959999999998 // Lvl:86
969999999998 // Lvl:87
